,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
56,TCS,EQ,2-Aug-17,2501.65,2500.0,2508.0,2462.0,2475.0,2473.8,2484.51,625512,1554089627.0,44731,366332,58.57,8,2017,2481.861134938233,-0.011132652449383329,Slight positive
57,TCS,EQ,3-Aug-17,2473.8,2480.0,2502.0,2466.45,2490.05,2489.45,2486.75,941274,2340709564.0,39294,732362,77.81,8,2017,2481.9671984740107,0.006326299620017739,Slight positive
58,TCS,EQ,4-Aug-17,2489.45,2490.8,2528.3,2488.0,2525.0,2522.8,2510.86,693945,1742396092.0,31371,340218,49.03,8,2017,2482.3836413538766,0.013396533370825026,Slight positive
59,TCS,EQ,7-Aug-17,2522.8,2516.5,2520.0,2481.2,2507.4,2503.45,2491.28,942760,2348682444.0,29848,699856,74.23,8,2017,2482.6715374461896,-0.007670049151736302,Slight positive
60,TCS,EQ,8-Aug-17,2503.45,2512.0,2528.6,2496.3,2500.15,2503.05,2507.64,536979,1346550397.0,24609,309875,57.71,8,2017,2482.8289380558454,-0.00015977950428391896,Slight positive
61,TCS,EQ,9-Aug-17,2503.05,2500.0,2522.85,2493.3,2508.35,2512.0,2511.32,496473,1246803082.0,33860,316032,63.66,8,2017,2483.0357783704276,0.003575637721979108,Slight positive
62,TCS,EQ,10-Aug-17,2512.0,2509.0,2520.6,2486.35,2520.0,2511.45,2499.22,763086,1907116797.0,37900,507304,66.48,8,2017,2483.342108049826,-0.0002189490445860809,Slight positive
63,TCS,EQ,11-Aug-17,2511.45,2499.9,2535.0,2483.0,2492.65,2496.05,2503.79,697368,1746060388.0,41945,327636,46.98,8,2017,2483.466089712305,-0.006131915825518974,Slight positive
64,TCS,EQ,14-Aug-17,2496.05,2503.0,2509.9,2463.0,2468.0,2469.4,2487.26,393252,978120247.9,29766,227374,57.82,8,2017,2483.3891264509593,-0.010676869453736915,Slight positive
65,TCS,EQ,16-Aug-17,2469.4,2484.0,2543.8,2465.2,2490.15,2492.35,2487.66,686670,1708202481.0,44396,437761,63.75,8,2017,2483.4739288209844,0.009293755568154038,Slight positive
66,TCS,EQ,17-Aug-17,2492.35,2500.7,2505.0,2462.1,2485.55,2485.65,2480.04,876187,2172977685.0,40452,613453,70.01,8,2017,2483.499892518618,-0.0026882259714726686,Slight positive
